,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
dur,0.0,0.0,0.0,0.0,0.0,1.4128664183061748,0.696152391771793,0.0,0.0,0.0,0.0,0.0,-0.07684365436574313,-0.7468353139281431,-1.2322942123702696,0.0,0.09451453649502745,0.019910889065315213,0.10361984300844088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545071024086826,0.024095960982108994,0.0,0.0,0.0,0.0,0.0,0.0,0.008307286123186583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proto,-0.018377634652257842,0.0,0.0,-0.18238276182484106,-0.04446310617728159,0.031173810029998417,-0.03464193060141621,0.0,0.0,0.0,0.0,0.0,0.0,0.07506324691516646,-0.021299753079539484,0.0,-0.006608126601549686,0.00628741332536496,0.0015213959030002952,0.07568510042256581,0.0,0.0,0.03347227634001127,0.0,0.0,0.0,0.0,0.0027855002508725265,0.0,0.0009775088169156536,0.0,0.0,0.0,0.0,0.0,0.0,0.0002609532202584686,0.0,0.0,0.0,0.0,-0.02755695803408118,0.0,0.0
service,-0.008115191272669662,-0.41277224022564457,0.0,-0.47788311793416327,0.059459127373210074,0.0,-0.08874840502867475,0.0,-0.017717007997938575,0.11684298078748387,-0.07434642116949977,0.03032688420495118,0.038186075028682896,0.028602065006434946,-0.0030180389096172767,0.0,0.0024136016178513547,0.007336593734978848,-0.004005379083825229,0.009688221582701481,0.0,0.0,0.09731635130667816,-0.06915305526773771,0.05480412452994605,0.03970963697097234,-0.021156986100996686,-0.00881503458680078,-0.020923761033965513,-0.007307807526172621,0.0,-0.011984910739991323,0.0,0.0,-0.054597017937338434,0.0,0.0,-0.03182825119675952,-0.029591918466937105,0.0,0.0,0.03329767563670908,0.0,0.0
state,-0.020125378994670755,0.0,0.0,0.0,0.06589810630752918,-0.09680753404390047,-0.1330906130340945,0.0,0.0,0.0,0.0,0.0,0.0,0.08834308356326842,0.0858585075680394,-0.012406304678814942,-0.006452376261281335,0.007323874050118171,0.005523580535435934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005033199363477522,-0.0007783041636479771,0.0,0.0,0.0,0.0,0.0,0.0,0.002756522779092777,0.0,0.0,0.0,0.0,0.01716559162620459,0.0,0.0
spkts,0.030203463645792867,0.0,0.0,0.0,0.0,0.9949673615306918,0.4573267641380934,0.0,0.0,0.0,0.0,0.0,0.036548165280019536,0.32462734860253967,-0.7931582108875985,-0.00589820920959772,-0.003112083252321489,-0.002874273379000679,0.0016125143774660643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012628409659153956,0.0,0.0,0.0,0.0,0.0,0.0,0.0031495388927570036,0.0,0.0,0.0,0.0,0.0026108656111057654,0.0,0.0
dpkts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sbytes,0.0,0.0,0.0,0.0,0.0,-0.01978514092263511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998010896090853,0.0,0.0,0.0,0.0,-0.00415322962004622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160564158756203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008800401766594248,0.0,0.0,0.0,0.0,0.0,0.0
dbytes,0.0,0.0,0.0,-0.10944605623307295,0.11074572438407954,-0.269733295096133,0.15494928439437788,0.0,0.0,0.027228775645319763,0.0,0.0,-0.012212668728580829,-0.2106836770445267,1.2370286559704657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722913682302907,0.0018622455194411153,0.0019211330655364927,0.0,0.0,0.021286152416368106,0.0,0.005420252747384087,0.0,-0.0073887912329473,0.0,0.0,0.0,0.0,0.0,-0.007132871079989127,0.0044136899823598655,0.0,0.0,0.007334843386348075,0.0,0.0
rate,-0.09891203290420988,0.29069306749014073,0.0,2.052569367105181,-0.14113901563701683,0.1526295558330059,0.0,0.0,0.0,0.0,-0.13531156656885981,0.0,0.0,0.13564053642439425,-0.10732134590278368,-0.014897941167792021,0.012825518599953518,0.0,0.008781198732699166,-0.17393685436782927,0.0,0.0,-0.24279486401485312,1.2571707625931678,-0.7124768907763986,-0.6059510361861348,0.0,0.0,0.0,0.0021184379575722107,0.0,0.2237728628729936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12275996042431614,0.0,0.0
sttl,0.017695497134218818,0.0,0.0,4.169590005008559,0.6808194033968025,0.2025587310699006,0.3819182343524394,0.0,0.0,0.0,0.5911873369086674,0.01773586330523957,0.056434049944482735,-1.081718345931797,-0.26763763041273303,0.0,-0.009996572579545105,0.035313508789007186,-0.010318972509981207,0.3603428623455544,0.0,0.0,-1.0524190102481998,-0.021433852458131643,0.02532367392573368,0.0,-0.03826758209896723,-0.2977759369238737,-0.009551920080538637,0.004651585776606752,0.0,0.2792738493837394,0.0,0.0,0.0,0.0,-0.09153392787229113,0.0,-0.08576673541330253,0.0,0.0,-0.29128660840374,0.0,0.0
